gender,product_type,name,name_english,website_url,status
Women,Trousers,Quần short legging,Leggings Shorts,www.maisononline.vn/collections/quan-short-bo-leggings-nu,published
Women,Trousers,Quần short ống rộng,Knee-Length Shorts,www.maisononline.vn/collections/quan-short-ong-rong-nu,published
Women,Trousers,Quần short ngang gối,Bermuda Shorts,www.maisononline.vn/collections/quan-short-ngang-goi-nu,published
Women,Trousers,Quần ống đứng,Straight-Leg Pants,www.maisononline.vn/collections/quan-ong-dung-nu,published
Women,Trousers,Quần jeans lửng,Cropped Jeans,www.maisononline.vn/collections/quan-jeans-lung-nu,published
Women,Trousers,Quần jeans phom ôm,Slim-Fit Jeans,www.maisononline.vn/collections/quan-jeans-phom-om-nu,published
Women,Trousers,Quần jeans ống loe,Flares & Bell Bottom Jeans,www.maisononline.vn/collections/quan-jeans-ong-loe-nu,published
Women,Trousers,Quần jeans ống đứng,Straight-Leg Jeans,www.maisononline.vn/collections/quan-jeans-ong-dung-nu,published
Women,Trousers,Quần jeans ống rộng,Wide-Leg Jeans,www.maisononline.vn/collections/quan-jeans-ong-rong-nu,published
Unisex,Trousers,Quần jogger,Sweatpants,www.maisononline.vn/collections/quan-jogger-unisex,published
Unisex,Trousers,Quần ống rộng,Wide-Leg Pants,www.maisononline.vn/collections/quan-ong-rong-unisex,published
Unisex,Trousers,Quần short ngang gối,Bermuda Shorts,www.maisononline.vn/collections/quan-short-ngang-goi-unisex,published
Unisex,Trousers,Quần jeans ống rộng,Wide-Leg Jeans,https://www.maisononline.vn/collections/quan-jeans-ong-rong-unisex,published
Men,Trousers,Quần bơi,Swim & Board Shorts,www.maisononline.vn/collections/quan-boi-nam,published
Men,Shirt,Áo thun thể thao,Performance T-Shirts,www.maisononline.vn/collections/ao-thun-the-thao-nam,published
Men,Shirt,Áo ba lỗ thể thao,Performance Tank Tops,https://www.maisononline.vn/collections/ao-ba-lo-nam-do-the-thao,published
Men,Trousers,Quần dài ống rộng,Sports Wide-Leg Pants,www.maisononline.vn/collections/quan-dai-ong-rong-nam,published
Men,Trousers,Quần dài tập luyện,Performance Track Shorts,www.maisononline.vn/collections/quan-dai-tap-luyen-nam,published
Men,Trousers,Quần short chạy bộ,Running Shorts,www.maisononline.vn/collections/quan-short-chay-bo-nam,published
Men,Trousers,Quần short ống rộng,Knee-Length Shorts,www.maisononline.vn/collections/quan-short-ong-rong-nam-do-the-thao,published
Men,Trousers,Quần short tập luyện,Performance Track Shorts,www.maisononline.vn/collections/quan-short-tap-luyen-nam,published
Men,Accessories,Găng tay,Gloves,www.maisononline.vn/collections/gang-tay-nam-do-the-thao,published
Men,Bag,Túi gym,Gym Bags,www.maisononline.vn/collections/tui-gym-nam,published
Men,Accessories,Bình nước thể thao,Sports Water Bottles,www.maisononline.vn/collections/binh-nuoc-nam-do-the-thao,published
Men,Bag,Túi trống thể thao,Duffle Bags,www.maisononline.vn/collections/tui-trong-the-thao-nam,published
Men,Accessories,Dụng cụ thể thao,Sports Equipment,www.maisononline.vn/collections/dung-cu-the-thao-nam,published
Women,Shirt,Áo bơi,Swimsuits,www.maisononline.vn/collections/ao-boi-nu,published
Women,Shirt,Áo tập luyện,Compression Tops,www.maisononline.vn/collections/ao-tap-luyen-nu,published
Women,Shirt,Áo bra thể thao,Sports Bras,www.maisononline.vn/collections/ao-bra-the-thao-nu,published
